"","uniqueID1","uniqueID2","uniqueID3","uniqueID4","date","year","season","fishing_season","latitude","longitude","location","total_salmon_per_site","day_scaled_linearised","month_linearised","netting_record","sea_age","sex","fork_length","gut_weight","condition","vgll3","six6","best_estimate","be_probability","prey_group","num_prey","num_fish","num_crus","w_fish","w_crus","w_prey","empty_notEmpty","fish_prop","fish_noFish","crust_prop","crust_noCrust"
"58","75_W_67","0075_W_67","0075_W_67_1992","26_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,26,"2","male",67,2.73,0.907691438109076,2,3,"Southern_Norway",0.9999,"Crustaceans",2,0,2,0,0.16,0.16,1,0,0,1,1
"59","76_W_63","0076_W_63","0076_W_63_1992","38_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,38,"1","female",63,2.27,0.90782932808632,3,2,"Southern_Norway",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"60","77_W_68","0077_W_68","0077_W_68_1992","37_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,37,"2","female",68,3.18,1.01134744555262,1,3,"Southern_Norway",0.9994,NA,0,0,0,0,0,0,0,NA,0,NA,0
"61","78_W_72","0078_W_72","0078_W_72_1992","36_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,36,"2","female",72,4.09,1.09578617969822,3,2,"Southern_Norway",1,"Crustaceans",18,0,18,0,0.82,0.82,1,0,0,1,1
"62","83_W_67","0083_W_67","0083_W_67_1992","31_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,31,"2","female",67,3.18,1.05731090592925,1,2,"Southern_Norway",1,"Crustaceans",1,0,1,0,0.002,0.002,1,0,0,1,1
"63","84_W_67","0084_W_67","0084_W_67_1992","30_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,30,"2","female",67,3.18,1.05731090592925,2,3,"Southern_Norway",0.9995,"Crustaceans",31,0,31,0,0.61,0.61,1,0,0,1,1
"64","85_W_70","0085_W_70","0085_W_70_1992","29_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,29,"2","female",70,3,0.87463556851312,3,3,"Southern_Norway",1,"Crustaceans",33,0,33,0,0.75,0.75,1,0,0,1,1
"65","87_W_64","0087_W_64","0087_W_64_1992","27_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,27,"2","female",64,1.91,0.728607177734375,1,3,"Southern_Norway",0.9998,NA,0,0,0,0,0,0,0,NA,0,NA,0
"66","89_W_70","0089_W_70","0089_W_70_1992","25_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,25,"2","male",70,3.2,0.932944606413994,3,3,"England_Ireland",1,"Crustaceans",1,0,1,0,0.004,0.004,1,0,0,1,1
"67","90_W_101","0090_W_101","0090_W_101_1992","24_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,24,"3","female",101,9,0.87353113313488,3,1,"England_Ireland",0.9169,NA,0,0,0,0,0,0,0,NA,0,NA,0
