IND;Best Estimate;Probability;2nd Best Estimate;Probability;3rd Best Estimate, etc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0219_W_100_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0197_W_70_1993 ;Gaula;0.8079;Lardaiselva;0.1465;Laukhelle_aver;0.0435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0217_W_87_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0200_W_75_1993 ;Gaula;0.8000;Lardaiselva;0.1978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0216_W_69_1993 ;Ong_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0196_W_99_1993 ;Numedalsiagen;0.7041;Gaula;0.1748;Dionard;0.0940;Blackwater;0.0103;Teno;0.0092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0179_W_85_1993 ;Lakselva_aver;0.8306;Alta;0.1690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0177_W_70_1993 ;Gaula;0.9991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0176_W_88_1993 ;Alta;0.9995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0175_W_70_1993 ;Dionard;0.7328;NorthEsk;0.1642;Dart;0.1018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0186_W_71_1993 ;Dionard;0.8932;NorthEsk;0.0650;Dart;0.0250;Tweed;0.0105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0187_W_64_1993 ;Dionard;0.4844;NorthEsk;0.3244;Tweed;0.1448;Dart;0.0287;Gaula;0.0170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0189_W_70_1993 ;Gaula;0.9433;Lardaiselva;0.0502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0198_W_71_1993 ;Gaula;0.6837;Lardaiselva;0.2305;Numedalsiagen;0.0856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0190_W_88_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0182_W_105_1993 ;Numedalsiagen;0.9986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0191_W_86_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0192_W_91_1993 ;Gaula;0.9965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0193_W_72_1993 ;Dart;0.6737;Dionard;0.2866;Blackwater;0.0229;NorthEsk;0.0118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
